iter	Passed	Remaining
0	1	105
1	1	97
2	2	92
3	3	85
4	4	89
5	5	87
6	6	85
7	7	84
8	8	82
9	8	80
10	9	78
11	10	76
12	11	75
13	12	73
14	12	72
15	13	70
16	14	69
17	14	67
18	15	66
19	16	64
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	28	48
37	28	47
38	29	46
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	41
45	34	40
46	34	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	34
53	39	34
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	43	29
60	44	28
61	45	27
62	46	27
63	47	26
64	48	26
65	49	25
66	50	25
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	75	0
